Date,Equal_Weighted_Value,Custom_Weighted_Value
2019-01-03,29438.7664715468,28620.71398035301
2019-01-04,30817.402933941743,29924.562014653406
2019-01-07,30787.153450141213,29890.772777934733
2019-01-08,31147.333013771506,30293.205078871797
2019-01-09,31436.525035782637,30659.609182734992
2019-01-10,31375.360831764276,30633.512933822913
2019-01-11,31052.710587883124,30330.61668488542
2019-01-14,30695.52591475377,29962.33796070687
2019-01-15,31542.283923705578,30729.130679335813
2019-01-16,31736.807960528877,30966.28575028598
2019-01-17,31967.22314191373,31178.085366876017
2019-01-18,32271.816105155885,31460.656981640695
2019-01-22,31549.090008978532,30766.775477236588
2019-01-23,31750.46982009051,30951.922132298743
2019-01-24,31611.996014636235,30782.532888858088
2019-01-25,32227.62920715215,31476.349163386436
2019-01-28,31707.57198158939,31022.815403020166
2019-01-29,31286.859071387713,30616.195027878493
2019-01-30,32620.239755868628,32129.031471065664
2019-01-31,32775.520522961626,32231.31462781259
2019-02-01,32537.609185122215,32044.65904016454
2019-02-04,33379.103919781184,32907.26420948822
2019-02-05,33827.065315567,33387.20596338725
2019-02-06,33422.118043072296,33113.793395042594
2019-02-07,32962.80133577205,32628.86431787225
2019-02-08,32982.38851274639,32664.395652735955
2019-02-11,32872.87402245132,32529.983881573593
2019-02-12,33391.16981322181,32972.50181536899
2019-02-13,33346.959359120265,32902.74078735367
2019-02-14,33402.433868993445,32974.31552268092
2019-02-15,33420.7878131316,33003.89748724372
2019-02-19,33517.429701560635,33089.26158781506
2019-02-20,33472.531780953526,33109.3469679911
2019-02-21,33481.863327983694,33128.715579415584
2019-02-22,33890.43246038272,33529.47608687947
2019-02-25,34043.62972498172,33712.42063621288
2019-02-26,34175.980382069196,33820.12723582446
2019-02-27,34200.94016367712,33860.65872313423
2019-02-28,34111.73929963345,33703.52921009741
2019-03-01,34503.7501102764,34057.239502443306
2019-03-04,34583.07305931702,34147.43583106319
2019-03-05,34662.198832095375,34158.635707173904
2019-03-06,34558.888148841135,34040.11267285697
2019-03-07,34146.02828088137,33636.48901360173
2019-03-08,34176.751538935874,33682.2888160192
2019-03-11,35100.73335020075,34649.41724985242
2019-03-12,35492.60485195292,35022.57007138507
2019-03-13,35654.4359834689,35191.96720101336
2019-03-14,35731.169615833154,35357.53915662349
2019-03-15,36001.02747172393,35696.46965920902
2019-03-18,36277.75574544538,36021.549266564616
2019-03-19,36331.67744157777,35970.486771227654
2019-03-20,36665.536162538934,36259.13491610365
2019-03-21,37493.13153108461,37234.12454282507
2019-03-22,36616.83828302664,36382.483723597805
2019-03-25,36429.07201715048,36157.534562310204
2019-03-26,36252.95050907114,35948.26373985177
2019-03-27,36124.64887387677,35934.16697918388
2019-03-28,36098.44608953273,35937.75014960996
2019-03-29,36328.235181614415,36176.32436013412
